,word,x,y
92,time,-7.6815426306658825,-5.837522675760696
93,Express,3.496691738890652,-3.5446341848620975
94,political,6.420685127631922,-2.749591044887728
95,messages,6.40030239073111,7.037319737069221
96,world,-6.715753739220016,-4.685589636008245
97,hope,-8.455872771880273,-3.380919711761482
98,since,-6.762657126135741,-5.670381564760437
99,flow,-6.7861719975722306,8.787076176646483
100,find,-8.207700562651825,-4.323836172950386
101,greater,-7.239195617541022,5.704283772075278
102,acceptance,-0.2811652117431964,6.196712598819426
103,Be,0.35261453970044776,-7.624200863197956
104,interpretation,0.06908480714411898,8.14202239078189
105,battle,1.9492427963264007,-6.179865888337268
106,cry,-8.17297920920776,4.583734355082486
107,Har,-3.7713058935959944,9.085473623451028
108,Every,-7.668810994056498,6.449358634814726
109,man,-7.277151404791478,-4.388762307067724
110,valour,-0.9838768362490876,6.990511988190949
111,Sati,-9.532457348991718,-3.865428623075539
112,fights,-5.016390147032307,-7.519496622553535
113,battles,-8.603205569394836,1.1308029646669597
114,every,-6.899051033908398,-6.202378092388607
115,passage,-1.3654222647650178,7.83652755271529
116,rich,-9.494597771783871,1.9902422308179322
117,meaning,-8.447452110451971,-0.5011690180039794
118,yet,-7.004881929354011,-5.022202598370219
119,open,10.246506438347026,-0.7291298516726078
120,lies,1.0843818975545987,8.475839461730788
121,strength,-6.470154796285398,-3.5380525381227566
122,book,1.7184457510193627,-5.835237555439189
123,wonderful,1.1227972292321955,-4.711639039868511
124,replete,4.325786684555211,-2.849995710623636
125,action,-5.526242830965666,8.974477811677788
126,love,-8.640911554707138,-5.276932648710146
127,virtues,7.091540007405441,-0.6594922062975779
128,principles,-0.34423542138178426,-3.3222983658467524
129,succeeded,-6.614809552873144,-1.4293365748122913
130,many,-7.321863934447706,-6.046589464912195
131,figures,1.9673142651547926,1.8129532239456263
132,simple,-0.07500265071782135,-4.052160814739201
133,flesh,-6.580558603740211,3.277886483246232
134,blood,10.173423277264645,-0.6826004361686944
135,human,-6.468508743758958,8.7968647543459
136,beings,-3.151420980181536,2.2594282342171788
137,lie,-3.0669176985407027,11.087702046646415
138,beauty,-5.9133185924463465,8.862932754306572
139,takes,-6.7754910353586775,6.222090216795578
140,myth,1.6319420016487902,6.112354382320104
141,raising,-8.161555709143835,0.9762818796747369
142,questions,-5.298145222339078,7.111384183911773
143,hold,-1.55012990842893,9.472615072073143
144,true,-7.832874749369953,-5.085266740391085
145,familiar,8.745703311220208,3.424369874323623
146,marvellous,-5.099447568274186,1.5491129146045295
147,attempt,-8.895327674198118,1.085213675674642
148,create,-5.301748054294898,9.345906436091175
149,fiction,6.3352148512132,5.411084791327388
150,religion,0.3909148989952085,8.149317631761212
151,archaeological,-1.2378090735391487,2.2227068085660044
152,facts,-1.6138936251790874,-7.102311158586786
153,People,-4.109378791836892,10.179749952542055
154,sees,-1.4612671175661498,-7.1185467147497175
155,intriguing,-0.5256645317767717,-8.851910348532176
156,life,-8.136022411459718,-6.3191139242191445
157,refreshing,2.052273889311824,0.8776177229599293
158,perspective,-0.24515262323587544,-6.4362319663339145
159,beautifully,-5.328450191161003,-6.358878864737587
160,creation,3.8975523881534833,8.029651955973579
161,lover,-1.96460848342305,7.301488253019816
162,For,-7.298516136976163,-5.572683859481379
163,detailed,-4.69428980095346,-5.450801761868592
164,reviews,3.1569646588503604,4.089087731534603
165,please,-8.209415719179752,-2.879994637228761
166,visit,8.324734958684246,3.931758056391466
167,westland,-3.220241842529863,-5.812194988404147
168,ltd,-4.691617737189075,-4.52644098900521
169,Road,4.073753553096701,7.775088805926605
170,New,-8.837159102854752,0.946690628046735
171,Raghava,-3.521243807160991,-2.5364669416365224
172,Timber,-0.8214121158455207,-6.929896744746111
173,Yard,-3.50271554555079,-6.363994176937003
174,Layout,-4.055753554211493,1.7175066819980367
175,Bangalore,4.377714721605253,1.0982731290273282
176,No,-9.560023018695151,-5.375191372800441
177,Floor,-0.5469040611879473,1.2243917909989828
178,Moula,-2.3904864105552477,0.8909591233551989
179,Ali,4.80857472676642,-9.17526875011138
180,23181,-1.712807358606243,1.9544186212700965
181,Anand,-4.20789305305592,-0.20255033020695246
182,Nagar,4.033715237513395,7.7376451188421935
183,Nehru,-2.783652582541549,2.8377983578666695
184,Santacruz,3.545386709845593,1.0817718068349411
185,East,5.077743130957844,8.925084182477347
